加热玻璃的控制0x42,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,ควบคุมการให้ความร้อนของแก้ว 0x42,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,0xEE,0x01,设备地址,0x43,0x0002,"灯：1，1号灯，2，2号灯                                                                                                       
状态：1，打开。0，关闭",crc16,,,0xEE,0x01,ที่อยู่ของอุปกรณ์,0x43,0x0002,"ไฟ: 1, ไฟหมายเลข 1, 2, ไฟหมายเลข 2
สถานะ: 1, เปิด 0, ปิด",crc16
下位机响应,开始标志,版本号,设备地址,指令,数据长度,数据内容,校验码,,การตอบสนองของอุปกรณ์รอง,เครื่องหมายเริ่มต้น,หมายเลขเวอร์ชัน,ที่อยู่ของอุปกรณ์,คำสั่ง,ความยาวของข้อมูล,เนื้อหาข้อมูล,รหัสตรวจสอบ
,1字节,1字节,4字节,1字节,2字节,1字节状态,2字节,,,1 ไบต์,1 ไบต์,4 ไบต์,1 ไบต์,2 ไบต์,สถานะ 1 ไบต์,2 ไบต์
,0xFF,0x01,设备地址,0x43,0x0001,"
0x00:成功
0x01:失败
",crc16,,,0xFF,0x01,ที่อยู่ของอุปกรณ์,0x43,0x0001,"
0x00: สำเร็จ
0x01: ล้มเหลว",crc16
,,,,,,,,,,,,,,,,
查询所有设备的状态0x44,,,,,,,,,สอบถามสถานะของอุปกรณ์ทั้งหมด 0x44,,,,,,,
查询当前所有设备状态,开始标志,版本号,设备地址,指令,数据长度,数据内容,校验码,,ตรวจสอบสถานะอุปกรณ์ทั้งหมดในปัจจุบัน,เครื่องหมายเริ่มต้น,หมายเลขเวอร์ชัน,ที่อยู่ของอุปกรณ์,คำสั่ง,ความยาวของข้อมูล,เนื้อหาข้อมูล,รหัสตรวจสอบ
,1字节,1字节,4字节,1字节,2字节,,2字节,,,1 ไบต์,1 ไบต์,4 ไบต์,1 ไบต์,2 ไบต์,,2 ไบต์
,0xEE,0x01,设备地址,0x44,0x0000,,crc16,,,0xEE,0x01,ที่อยู่ของอุปกรณ์,0x44,0x0000,,crc16
下位机响应,开始标志,版本号,设备地址,指令,数据长度,数据内容,校验码,,การตอบสนองของอุปกรณ์รอง,เครื่องหมายเริ่มต้น,หมายเลขเวอร์ชัน,ที่อยู่ของอุปกรณ์,คำสั่ง,ความยาวของข้อมูล,เนื้อหาข้อมูล,รหัสตรวจสอบ
,1字节,1字节,4字节,1字节,2字节,第一个字节为led1+第二个字节LED2+第三个字节Glass+第四个字节压缩机制冷+第五个字节压缩机加热状态+门+是否在化霜,2字节,,,1 ไบต์,1 ไบต์,4 ไบต์,1 ไบต์,2 ไบต์,ตัวควบคุมย่อยตอบสนองไบต์แรกเป็น LED1 + ไบต์ที่สอง LED2 + ไบต์ที่สาม กระจก + ไบต์ที่สี่ ระบบทำความเย็นด้วยการอัด + ไบต์ที่ห้าสถานะการให้ความร้อนของคอมเพรสเซอร์ + ประตู + กำลังละลายน้ำแข็งหรือไม่,2 ไบต์
,0xFF,0x01,设备地址,0x44,0x0007,"0：关，1：开
",crc16,,,0xFF,0x01,ที่อยู่ของอุปกรณ์,0x44,0x0007,"0: ปิด, 1: เปิด",crc16
,,,,,,,,,,,,,,,,
查询flash是否损坏0x45,,,,,,,,,ตรวจสอบว่าแฟลชเสียหรือไม่ 0x45,,,,,,,
查询flash是否损坏,开始标志,版本号,设备地址,指令,数据长度,数据内容,校验码,,ตรวจสอบว่าแฟลชเสียหรือไม่,เครื่องหมายเริ่มต้น,หมายเลขเวอร์ชัน,ที่อยู่ของอุปกรณ์,คำสั่ง,ความยาวของข้อมูล,เนื้อหาข้อมูล,รหัสตรวจสอบ
,1字节,1字节,4字节,1字节,2字节,,2字节,,,1 ไบต์,1 ไบต์,4 ไบต์,1 ไบต์,2 ไบต์,,2 ไบต์
,0xEE,0x01,设备地址,0x45,0x0000,,crc16,,,0xEE,0x01,ที่อยู่ของอุปกรณ์,0x45,0x0000,,crc16
下位机响应,开始标志,版本号,设备地址,指令,数据长度,数据内容,校验码,,การตอบสนองของอุปกรณ์รอง,เครื่องหมายเริ่มต้น,หมายเลขเวอร์ชัน,ที่อยู่ของอุปกรณ์,คำสั่ง,ความยาวของข้อมูล,เนื้อหาข้อมูล,รหัสตรวจสอบ
,1字节,1字节,4字节,1字节,2字节,一个字节状态,2字节,,,1 ไบต์,1 ไบต์,4 ไบต์,1 ไบต์,2 ไบต์,สถานะไบต์,2 ไบต์
,0xFF,0x01,设备地址,0x45,0x0001,"=1：损坏
！=1：ok",crc16,,,0xFF,0x01,ที่อยู่ของอุปกรณ์,0x45,0x0001,"1: เสีย
!=1: ปกติ",crc16
,,,,,,,,,,,,,,,,
清空用电量0x46,,,,,,,,,ล้างการใช้ไฟฟ้า 0x46,,,,,,,
清空用电量,开始标志,版本号,设备地址,指令,数据长度,数据内容,校验码,,ล้างปริมาณการใช้ไฟฟ้า,เครื่องหมายเริ่มต้น,หมายเลขเวอร์ชัน,ที่อยู่ของอุปกรณ์,คำสั่ง,ความยาวของข้อมูล,เนื้อหาข้อมูล,รหัสตรวจสอบ
,1字节,1字节,4字节,1字节,2字节,,2字节,,,1 ไบต์,1 ไบต์,4 ไบต์,1 ไบต์,2 ไบต์,,2 ไบต์
,0xEE,0x01,设备地址,0x46,0x0000,,crc16,,,0xEE,0x01,ที่อยู่ของอุปกรณ์,0x46,0x0000,,crc16
下位机响应,开始标志,版本号,设备地址,指令,数据长度,数据内容,校验码,,การตอบสนองของอุปกรณ์ระดับล่าง,เครื่องหมายเริ่มต้น,หมายเลขเวอร์ชัน,ที่อยู่ของอุปกรณ์,คำสั่ง,ความยาวของข้อมูล,เนื้อหาข้อมูล,รหัสตรวจสอบ
,1字节,1字节,4字节,1字节,2字节,1字节状态+1字节保留,2字节,,,1 ไบต์,1 ไบต์,4 ไบต์,1 ไบต์,2 ไบต์,สถานะ 1 ไบต์ + สำรอง 1 ไบต์,2 ไบต์
,0xFF,0x01,设备地址,0x46,0x0002,状态：0，成功。1失败。,crc16,,,0xFF,0x01,ที่อยู่ของอุปกรณ์,0x46,0x0002,สถานะ: 0 สำเร็จ 1 ล้มเหลว,crc16
,,,,,,,,,,,,,,,,
查询总用电量和当前电压和电流0x47,,,,,,,,,ตรวจสอบการใช้ไฟฟ้ารวมและแรงดันไฟฟ้าและกระแสปัจจุบัน 0x47,,,,,,,
查询总用电量,开始标志,版本号,设备地址,指令,数据长度,数据内容,校验码,,ตรวจสอบปริมาณการใช้ไฟฟ้าทั้งหมด,เครื่องหมายเริ่มต้น,หมายเลขเวอร์ชัน,ที่อยู่ของอุปกรณ์,คำสั่ง,ความยาวของข้อมูล,เนื้อหาข้อมูล,รหัสตรวจสอบ
,1字节,1字节,4字节,1字节,2字节,,2字节,,,1 ไบต์,1 ไบต์,4 ไบต์,1 ไบต์,2 ไบต์,,2 ไบต์
,0xEE,0x01,设备地址,0x47,0x0000,,crc16,,,0xEE,0x01,ที่อยู่ของอุปกรณ์,0x47,0x0000,,crc16
下位机响应,开始标志,版本号,设备地址,指令,数据长度,数据内容,校验码,,การตอบสนองของอุปกรณ์ระดับล่าง,เครื่องหมายเริ่มต้น,หมายเลขเวอร์ชัน,ที่อยู่ของอุปกรณ์,คำสั่ง,ความยาวของข้อมูล,เนื้อหาข้อมูล,รหัสตรวจสอบ
,1字节,1字节,4字节,1字节,2字节,4字节用电量+2字节电压+2字节电流+2字节保留,2字节,,,1 ไบต์,1 ไบต์,4 ไบต์,1 ไบต์,2 ไบต์,พลังงานไฟฟ้า 4 ไบต์ + แรงดันไฟฟ้า 2 ไบต์ + กระแสไฟฟ้า 2 ไบต์ + จองไว้ 2 ไบต์,2 ไบต์
,0xFF,0x01,设备地址,0x47,0x000a,用电量得除以100，得到2位小数,crc16,,,0xFF,0x01,ที่อยู่ของอุปกรณ์,0x47,0x000a,ปริมาณการใช้ไฟฟ้าต้องหารด้วย 100 เพื่อให้ได้ทศนิยม 2 หลัก,crc16
下位机响应,开始标志,版本号,设备地址,指令,数据长度,数据内容,校验码,,การตอบสนองของอุปกรณ์รอง,เครื่องหมายเริ่มต้น,หมายเลขเวอร์ชัน,ที่อยู่ของอุปกรณ์,คำสั่ง,ความยาวของข้อมูล,เนื้อหาข้อมูล,รหัสตรวจสอบ
,1字节,1字节,4字节,1字节,2字节,2字节用通道1温度+2字节通道2温度+2字节通道3温度+2字节通道4温度以此类推,2字节,,,1 ไบต์,1 ไบต์,4 ไบต์,1 ไบต์,2 ไบต์,2 ไบต์ใช้สำหรับอุณหภูมิช่อง 1 + 2 ไบต์สำหรับอุณหภูมิช่อง 2 + 2 ไบต์สำหรับอุณหภูมิช่อง 3 + 2 ไบต์สำหรับอุณหภูมิช่อง 4 และต่อไปเรื่อย ๆ,2 ไบต์
,0xFF,0x01,设备地址,0x47,0x0010,,crc16,,,0xFF,0x01,ที่อยู่ของอุปกรณ์,0x47,0x0010,,crc16
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
温控器参数配置0x4a ,,,,,,,,,การตั้งค่าพารามิเตอร์ตัวควบคุมอุณหภูมิ 0x4a,,,,,,,
查询温控器配置,开始标志,版本号,设备地址,指令,数据长度,数据内容（例:开压缩机EE01 00000000 4A 0006 01 00 12 01 0000 5566）,校验码,,ตรวจสอบการตั้งค่าเครื่องควบคุมอุณหภูมิ,เครื่องหมายเริ่มต้น,หมายเลขเวอร์ชัน,ที่อยู่ของอุปกรณ์,คำสั่ง,ความยาวของข้อมูล,ข้อมูลเนื้อหา (ตัวอย่าง: เปิดคอมเพรสเซอร์ EE01 00000000 4A 0006 01 00 12 01 0000 5566),รหัสตรวจสอบ
,1字节,1字节,4字节,1字节,2字节,1字节读/写操作+1字节预留+1字节参数地址+1字节参数数值+2字节预留,2字节,,,1 ไบต์,1 ไบต์,4 ไบต์,1 ไบต์,2 ไบต์,การอ่าน/เขียน 1 ไบต์ + การสงวน 1 ไบต์ + ที่อยู่พารามิเตอร์ 1 ไบต์ + ค่าพารามิเตอร์ 1 ไบต์ + การสงวน 2 ไบต์,2 ไบต์
,0xEE,0x01,设备地址,0x4a,0x0006,读（0）：读取参数地址的数值。写（1）：更改参数地址的数值                                                                                     ,crc16,,,0xEE,0x01,ที่อยู่ของอุปกรณ์,0x4a,0x0006,อ่าน (0): อ่านค่าของที่อยู่พารามิเตอร์ เขียน (1): เปลี่ยนค่าของที่อยู่พารามิเตอร์,crc16
下位机响应,开始标志,版本号,设备地址,指令,数据长度,数据内容,校验码,,การตอบสนองของอุปกรณ์รอง,เครื่องหมายเริ่มต้น,หมายเลขเวอร์ชัน,ที่อยู่ของอุปกรณ์,คำสั่ง,ความยาวของข้อมูล,เนื้อหาข้อมูล,รหัสตรวจสอบ
,1字节,1字节,4字节,1字节,2字节,1字节状态+2字节柜内温度+2字节柜内湿度+2字节蒸发器温度+2字节状态区标志+1字节参数地址+1字节参数地址数值+2字节预留,2字节,,,1 ไบต์,1 ไบต์,4 ไบต์,1 ไบต์,2 ไบต์,1 ไบต์สถานะ + 2 ไบต์อุณหภูมิภายในตู้ + 2 ไบต์ความชื้นภายในตู้ + 2 ไบต์อุณหภูมิคอยล์เย็น + 2 ไบต์สัญลักษณ์พื้นที่สถานะ + 1 ไบต์ที่อยู่พารามิเตอร์ + 1 ไบต์ค่าที่อยู่พารามิเตอร์ + 2 ไบต์สงวน,2 ไบต์
,0xFF,0x01,设备地址,0x4a,0x000d,"状态：0成功，1失败，2，超过最大参数地址                                                                     
状态标志位：E1E2E3E4 E5E6E7E8  F1F2F3F4F5F6F7F8  （按位读取，F暂不用）                                                   
E1:柜温传感器NTC故障指示，0为正常，1为故障  
E2:柜温传感器故障指示，0为正常，1为故障（可能AM2301失效，导致这个位变1）__传感器5分钟内都读不到数据            
E3:蒸发器传感器NTC故障指示，0为正常，1为故障                                                      
E4:蒸发器NTC短路，0为正常，1为故障                                                        
E5:蒸发器NTC未连接，0为正常，1为故障                                                      
E6:柜温NTC短路，0为正常，1为故障                                                             
E7:柜温NTC未连接，0为正常，1为故障                                   
其它为预留",crc16,,,0xFF,0x01,ที่อยู่ของอุปกรณ์,0x4a,0x000d,"สถานะ: 0 สำเร็จ, 1 ล้มเหลว, 2 เกินที่อยู่พารามิเตอร์สูงสุด
ธงสถานะ: E1E2E3E4 E5E6E7E8 F1F2F3F4F5F6F7F8 (อ่านเป็นบิต, F ยังไม่ใช้)
E1: ตัวบ่งชี้ความเสียหายของเซ็นเซอร์ NTC ของตู้, 0 ปกติ, 1 เสีย
E2: ตัวบ่งชี้ความเสียหายของเซ็นเซอร์ตู้, 0 ปกติ, 1 เสีย (อาจเกิดจาก AM2301 เสีย ทำให้บิตนี้เป็น 1) — เซ็นเซอร์ไม่สามารถอ่านข้อมูลได้ภายใน 5 นาที
E3: ตัวบ่งชี้ความเสียหายของเซ็นเซอร์ NTC ของเครื่องระเหย, 0 ปกติ, 1 เสีย
E4: NTC ของเครื่องระเหยลัดวงจร, 0 ปกติ, 1 เสีย
E5: NTC ของเครื่องระเหยไม่ได้เชื่อมต่อ, 0 ปกติ, 1 เสีย
E6: NTC ของตู้ลัดวงจร, 0 ปกติ, 1 เสีย
E7: NTC ของตู้ไม่ได้เชื่อมต่อ, 0 ปกติ, 1 เสีย
อื่น ๆ สำหรับสำรอง",crc16
,,,,,,,,,,,,,,,,
恢复出厂设置0x4b,,,,,,,,,,,,,,,,
恢复出厂设置,开始标志,版本号,设备地址,指令,数据长度,数据内容,校验码,,คืนค่าโรงงาน,เครื่องหมายเริ่มต้น,หมายเลขเวอร์ชัน,ที่อยู่ของอุปกรณ์,คำสั่ง,ความยาวของข้อมูล,เนื้อหาข้อมูล,รหัสตรวจสอบ
,1字节,1字节,4字节,1字节,2字节,无,2字节,,,1 ไบต์,1 ไบต์,4 ไบต์,1 ไบต์,2 ไบต์,ไม่มี,2 ไบต์
,0xEE,0x01,设备地址,0x4b,0x0000,,crc16,,,0xEE,0x01,ที่อยู่ของอุปกรณ์,0x4b,0x0000,,crc16
下位机响应,开始标志,版本号,设备地址,指令,数据长度,数据内容,校验码,,การตอบสนองของอุปกรณ์รอง,เครื่องหมายเริ่มต้น,หมายเลขเวอร์ชัน,ที่อยู่ของอุปกรณ์,คำสั่ง,ความยาวของข้อมูล,เนื้อหาข้อมูล,รหัสตรวจสอบ
,1字节,1字节,4字节,1字节,2字节,1字节状态+1字节保留,2字节,,,1 ไบต์,1 ไบต์,4 ไบต์,1 ไบต์,2 ไบต์,สถานะ 1 ไบต์ + สำรอง 1 ไบต์,2 ไบต์
,0xFF,0x01,设备地址,0x4b,0x0002,状态：0，成功。1失败。,crc16,,,0xFF,0x01,ที่อยู่ของอุปกรณ์,0x4b,0x0000,สถานะ: 0 สำเร็จ 1 ล้มเหลว,crc16
